2025-03-27 23:54:17 INFO  consumer.consumer.KafkaConsumer - Message[title=msg, description=msg from Lera, senderName=Lera, senderAge=20] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=102447787676, productId=BTC-USD, price=85047.24, open24h=87204.13, volume24h=8428.56844318, low24h=84964.58, high24h=87719.5, volume30d=345045.64392190, bestBid=85047.23, bestBidSize=0.00236637, bestAsk=85047.24, bestAskSize=0.51874603, side=buy, time=2025-03-28T10:53:08.370614Z, tradeId=802878669, lastSize=0.00015726] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=102447787722, productId=BTC-USD, price=85047.24, open24h=87204.13, volume24h=8428.56844764, low24h=84964.58, high24h=87719.5, volume30d=345045.64392636, bestBid=85047.23, bestBidSize=0.00236637, bestAsk=85047.24, bestAskSize=0.38766332, side=buy, time=2025-03-28T10:53:08.573181Z, tradeId=802878670, lastSize=0.00000446] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825469699, productId=ETH-USD, price=1910.95, open24h=2025.05, volume24h=146867.64905906, low24h=1901.82, high24h=2030.69, volume30d=4800879.01093466, bestBid=1910.94, bestBidSize=0.15621000, bestAsk=1910.95, bestAskSize=0.00621260, side=buy, time=2025-03-28T10:53:08.774919Z, tradeId=626952120, lastSize=0.00124021] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825469701, productId=ETH-USD, price=1910.95, open24h=2025.05, volume24h=146867.65527166, low24h=1901.82, high24h=2030.69, volume30d=4800879.01714726, bestBid=1910.94, bestBidSize=0.15621000, bestAsk=1911.00, bestAskSize=1.41228292, side=buy, time=2025-03-28T10:53:08.774919Z, tradeId=626952121, lastSize=0.0062126] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825469703, productId=ETH-USD, price=1911, open24h=2025.05, volume24h=146867.65844260, low24h=1901.82, high24h=2030.69, volume30d=4800879.02031820, bestBid=1910.94, bestBidSize=0.15621000, bestAsk=1911.00, bestAskSize=1.40911198, side=buy, time=2025-03-28T10:53:08.774919Z, tradeId=626952122, lastSize=0.00317094] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825469846, productId=ETH-USD, price=1910.95, open24h=2025.05, volume24h=146867.65883936, low24h=1901.82, high24h=2030.69, volume30d=4800879.02071496, bestBid=1910.94, bestBidSize=0.15621000, bestAsk=1910.95, bestAskSize=0.00186387, side=buy, time=2025-03-28T10:53:09.092833Z, tradeId=626952123, lastSize=0.00039676] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825469848, productId=ETH-USD, price=1910.95, open24h=2025.05, volume24h=146867.66070323, low24h=1901.82, high24h=2030.69, volume30d=4800879.02257883, bestBid=1910.94, bestBidSize=0.15621000, bestAsk=1911.03, bestAskSize=0.52327854, side=buy, time=2025-03-28T10:53:09.092833Z, tradeId=626952124, lastSize=0.00186387] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825469850, productId=ETH-USD, price=1911.03, open24h=2025.05, volume24h=146867.68499593, low24h=1901.82, high24h=2030.69, volume30d=4800879.04687153, bestBid=1910.94, bestBidSize=0.15621000, bestAsk=1911.03, bestAskSize=0.49898584, side=buy, time=2025-03-28T10:53:09.092833Z, tradeId=626952125, lastSize=0.0242927] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825469969, productId=ETH-USD, price=1911.03, open24h=2025.05, volume24h=146867.68506724, low24h=1901.82, high24h=2030.69, volume30d=4800879.04694284, bestBid=1910.90, bestBidSize=0.00085873, bestAsk=1911.03, bestAskSize=0.00024082, side=buy, time=2025-03-28T10:53:09.571662Z, tradeId=626952126, lastSize=0.00007131] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825469971, productId=ETH-USD, price=1911.03, open24h=2025.05, volume24h=146867.68530806, low24h=1901.82, high24h=2030.69, volume30d=4800879.04718366, bestBid=1910.90, bestBidSize=0.00085873, bestAsk=1911.04, bestAskSize=0.00558817, side=buy, time=2025-03-28T10:53:09.571662Z, tradeId=626952127, lastSize=0.00024082] ,getKafkaMessage method
